,specimen,largo_pico_mm,ancho_pico_mm,longitud_aleta_mm,masa_cuerpo_gr
52,52,36.5,16.6,181.0,2850.0
53,53,37.6,19.1,194.0,3750.0
54,54,35.7,16.9,185.0,3150.0
55,55,41.3,21.1,195.0,4400.0
56,56,37.6,17.0,185.0,3600.0
57,57,41.1,18.2,192.0,4050.0
58,58,36.4,17.1,184.0,2850.0
59,59,41.6,18.0,192.0,3950.0
60,60,35.5,16.2,195.0,3350.0
61,61,41.1,19.1,188.0,4100.0
62,62,35.9,16.6,190.0,3050.0
63,63,41.8,19.4,198.0,4450.0
64,64,33.5,19.0,190.0,3600.0
65,65,39.7,18.4,190.0,3900.0
66,66,39.6,17.2,196.0,3550.0
67,67,45.8,18.9,197.0,4150.0
68,68,35.5,17.5,190.0,3700.0
69,69,42.8,18.5,195.0,4250.0
70,70,40.9,16.8,191.0,3700.0
71,71,37.2,19.4,184.0,3900.0
72,72,36.2,16.1,187.0,3550.0
73,73,42.1,19.1,195.0,4000.0
74,74,34.6,17.2,189.0,3200.0
75,75,42.9,17.6,196.0,4700.0
76,76,36.7,18.8,187.0,3800.0
77,77,35.1,19.4,193.0,4200.0
78,78,37.3,17.8,191.0,3350.0
79,79,41.3,20.3,194.0,3550.0
80,80,36.3,19.5,190.0,3800.0
81,81,36.9,18.6,189.0,3500.0
82,82,38.3,19.2,189.0,3950.0
83,83,38.9,18.8,190.0,3600.0
84,84,35.7,18.0,202.0,3550.0
85,85,41.1,18.1,205.0,4300.0
86,86,34.0,17.1,185.0,3400.0
87,87,39.6,18.1,186.0,4450.0
88,88,36.2,17.3,187.0,3300.0
89,89,40.8,18.9,208.0,4300.0
90,90,38.1,18.6,190.0,3700.0
91,91,40.3,18.5,196.0,4350.0
92,92,33.1,16.1,178.0,2900.0
93,93,43.2,18.5,192.0,4100.0
94,94,35.0,17.9,192.0,3725.0
95,95,41.0,20.0,203.0,4725.0
96,96,37.7,16.0,183.0,3075.0
97,97,37.8,20.0,190.0,4250.0
98,98,37.9,18.6,193.0,2925.0
99,99,39.7,18.9,184.0,3550.0
100,100,38.6,17.2,199.0,3750.0
101,101,38.2,20.0,190.0,3900.0
102,102,38.1,17.0,181.0,3175.0
103,103,43.2,19.0,197.0,4775.0
104,104,38.1,16.5,198.0,3825.0
105,105,45.6,20.3,191.0,4600.0
106,106,39.7,17.7,193.0,3200.0
107,107,42.2,19.5,197.0,4275.0
108,108,39.6,20.7,191.0,3900.0
109,109,42.7,18.3,196.0,4075.0
110,110,38.6,17.0,188.0,2900.0
111,111,37.3,20.5,199.0,3775.0
112,112,35.7,17.0,189.0,3350.0
113,113,41.1,18.6,189.0,3325.0
114,114,36.2,17.2,187.0,3150.0
115,115,37.7,19.8,198.0,3500.0
116,116,40.2,17.0,176.0,3450.0
117,117,41.4,18.5,202.0,3875.0
118,118,35.2,15.9,186.0,3050.0
119,119,40.6,19.0,199.0,4000.0
120,120,38.8,17.6,191.0,3275.0
121,121,41.5,18.3,195.0,4300.0
122,122,39.0,17.1,191.0,3050.0
123,123,44.1,18.0,210.0,4000.0
124,124,38.5,17.9,190.0,3325.0
125,125,43.1,19.2,197.0,3500.0
126,126,36.8,18.5,193.0,3500.0
127,127,37.5,18.5,199.0,4475.0
128,128,38.1,17.6,187.0,3425.0
129,129,41.1,17.5,190.0,3900.0
130,130,35.6,17.5,191.0,3175.0
131,131,40.2,20.1,200.0,3975.0
132,132,37.0,16.5,185.0,3400.0
133,133,39.7,17.9,193.0,4250.0
134,134,40.2,17.1,193.0,3400.0
135,135,40.6,17.2,187.0,3475.0
136,136,32.1,15.5,188.0,3050.0
137,137,40.7,17.0,190.0,3725.0
138,138,37.3,16.8,192.0,3000.0
139,139,39.0,18.7,185.0,3650.0
140,140,39.2,18.6,190.0,4250.0
141,141,36.6,18.4,184.0,3475.0
142,142,36.0,17.8,195.0,3450.0
143,143,37.8,18.1,193.0,3750.0
144,144,36.0,17.1,187.0,3700.0
145,145,41.5,18.5,201.0,4000.0
146,146,46.5,17.9,192.0,3500.0
147,147,50.0,19.5,196.0,3900.0
148,148,51.3,19.2,193.0,3650.0
149,149,45.4,18.7,188.0,3525.0
150,150,52.7,19.8,197.0,3725.0
151,151,45.2,17.8,198.0,3950.0
152,152,46.1,18.2,178.0,3250.0
153,153,51.3,18.2,197.0,3750.0
154,154,46.0,18.9,195.0,4150.0
155,155,51.3,19.9,198.0,3700.0
156,156,46.6,17.8,193.0,3800.0
157,157,51.7,20.3,194.0,3775.0
158,158,47.0,17.3,185.0,3700.0
159,159,52.0,18.1,201.0,4050.0
160,160,45.9,17.1,190.0,3575.0
161,161,50.5,19.6,201.0,4050.0
162,162,50.3,20.0,197.0,3300.0
163,163,58.0,17.8,181.0,3700.0
164,164,46.4,18.6,190.0,3450.0
165,165,49.2,18.2,195.0,4400.0
166,166,42.4,17.3,181.0,3600.0
167,167,48.5,17.5,191.0,3400.0
168,168,43.2,16.6,187.0,2900.0
169,169,50.6,19.4,193.0,3800.0
170,170,46.7,17.9,195.0,3300.0
171,171,52.0,19.0,197.0,4150.0
172,172,50.5,18.4,200.0,3400.0
173,173,49.5,19.0,200.0,3800.0
174,174,46.4,17.8,191.0,3700.0
175,175,52.8,20.0,205.0,4550.0
176,176,40.9,16.6,187.0,3200.0
177,177,54.2,20.8,201.0,4300.0
178,178,42.5,16.7,187.0,3350.0
179,179,51.0,18.8,203.0,4100.0
180,180,49.7,18.6,195.0,3600.0
181,181,47.5,16.8,199.0,3900.0
182,182,47.6,18.3,195.0,3850.0
183,183,52.0,20.7,210.0,4800.0
184,184,46.9,16.6,192.0,2700.0
185,185,53.5,19.9,205.0,4500.0
186,186,49.0,19.5,210.0,3950.0
187,187,46.2,17.5,187.0,3650.0
188,188,50.9,19.1,196.0,3550.0
189,189,45.5,17.0,196.0,3500.0
190,190,50.9,17.9,196.0,3675.0
191,191,50.8,18.5,201.0,4450.0
192,192,50.1,17.9,190.0,3400.0
193,193,49.0,19.6,212.0,4300.0
194,194,51.5,18.7,187.0,3250.0
195,195,49.8,17.3,198.0,3675.0
196,196,48.1,16.4,199.0,3325.0
197,197,51.4,19.0,201.0,3950.0
198,198,45.7,17.3,193.0,3600.0
199,199,50.7,19.7,203.0,4050.0
200,200,42.5,17.3,187.0,3350.0
201,201,52.2,18.8,197.0,3450.0
202,202,45.2,16.6,191.0,3250.0
203,203,49.3,19.9,203.0,4050.0
204,204,50.2,18.8,202.0,3800.0
205,205,45.6,19.4,194.0,3525.0
206,206,51.9,19.5,206.0,3950.0
207,207,46.8,16.5,189.0,3650.0
208,208,45.7,17.0,195.0,3650.0
209,209,55.8,19.8,207.0,4000.0
210,210,43.5,18.1,202.0,3400.0
211,211,49.6,18.2,193.0,3775.0
212,212,50.8,19.0,210.0,4100.0
213,213,50.2,18.7,198.0,3775.0
214,214,46.1,13.2,211.0,4500.0
215,215,50.0,16.3,230.0,5700.0
216,216,48.7,14.1,210.0,4450.0
217,217,50.0,15.2,218.0,5700.0
218,218,47.6,14.5,215.0,5400.0
219,219,46.5,13.5,210.0,4550.0
220,220,45.4,14.6,211.0,4800.0
221,221,46.7,15.3,219.0,5200.0
222,222,43.3,13.4,209.0,4400.0
223,223,46.8,15.4,215.0,5150.0
224,224,40.9,13.7,214.0,4650.0
225,225,49.0,16.1,216.0,5550.0
226,226,45.5,13.7,214.0,4650.0
227,227,48.4,14.6,213.0,5850.0
228,228,45.8,14.6,210.0,4200.0
229,229,49.3,15.7,217.0,5850.0
230,230,42.0,13.5,210.0,4150.0
231,231,49.2,15.2,221.0,6300.0
232,232,46.2,14.5,209.0,4800.0
233,233,48.7,15.1,222.0,5350.0
234,234,50.2,14.3,218.0,5700.0
235,235,45.1,14.5,215.0,5000.0
236,236,46.5,14.5,213.0,4400.0
237,237,46.3,15.8,215.0,5050.0
238,238,42.9,13.1,215.0,5000.0
239,239,46.1,15.1,215.0,5100.0
240,240,47.8,15.0,215.0,5650.0
241,241,48.2,14.3,210.0,4600.0
242,242,50.0,15.3,220.0,5550.0
243,243,47.3,15.3,222.0,5250.0
244,244,42.8,14.2,209.0,4700.0
245,245,45.1,14.5,207.0,5050.0
246,246,59.6,17.0,230.0,6050.0
247,247,49.1,14.8,220.0,5150.0
248,248,48.4,16.3,220.0,5400.0
249,249,42.6,13.7,213.0,4950.0
250,250,44.4,17.3,219.0,5250.0
251,251,44.0,13.6,208.0,4350.0
252,252,48.7,15.7,208.0,5350.0
253,253,42.7,13.7,208.0,3950.0
254,254,49.6,16.0,225.0,5700.0
255,255,45.3,13.7,210.0,4300.0
256,256,49.6,15.0,216.0,4750.0
257,257,50.5,15.9,222.0,5550.0
258,258,43.6,13.9,217.0,4900.0
259,259,45.5,13.9,210.0,4200.0
260,260,50.5,15.9,225.0,5400.0
261,261,44.9,13.3,213.0,5100.0
262,262,45.2,15.8,215.0,5300.0
263,263,46.6,14.2,210.0,4850.0
264,264,48.5,14.1,220.0,5300.0
265,265,45.1,14.4,210.0,4400.0
266,266,50.1,15.0,225.0,5000.0
267,267,46.5,14.4,217.0,4900.0
268,268,45.0,15.4,220.0,5050.0
269,269,43.8,13.9,208.0,4300.0
270,270,45.5,15.0,220.0,5000.0
271,271,43.2,14.5,208.0,4450.0
272,272,50.4,15.3,224.0,5550.0
273,273,45.3,13.8,208.0,4200.0
274,274,46.2,14.9,221.0,5300.0
275,275,45.7,13.9,214.0,4400.0
276,276,54.3,15.7,231.0,5650.0
277,277,45.8,14.2,219.0,4700.0
278,278,49.8,16.8,230.0,5700.0
279,279,49.5,16.2,229.0,5800.0
280,280,43.5,14.2,220.0,4700.0
281,281,50.7,15.0,223.0,5550.0
282,282,47.7,15.0,216.0,4750.0
283,283,46.4,15.6,221.0,5000.0
284,284,48.2,15.6,221.0,5100.0
285,285,46.5,14.8,217.0,5200.0
286,286,46.4,15.0,216.0,4700.0
287,287,48.6,16.0,230.0,5800.0
288,288,47.5,14.2,209.0,4600.0
289,289,51.1,16.3,220.0,6000.0
290,290,45.2,13.8,215.0,4750.0
291,291,45.2,16.4,223.0,5950.0
292,292,49.1,14.5,212.0,4625.0
293,293,52.5,15.6,221.0,5450.0
294,294,47.4,14.6,212.0,4725.0
295,295,50.0,15.9,224.0,5350.0
296,296,44.9,13.8,212.0,4750.0
297,297,50.8,17.3,228.0,5600.0
298,298,43.4,14.4,218.0,4600.0
299,299,51.3,14.2,218.0,5300.0
300,300,47.5,14.0,212.0,4875.0
301,301,52.1,17.0,230.0,5550.0
302,302,47.5,15.0,218.0,4950.0
303,303,52.2,17.1,228.0,5400.0
304,304,45.5,14.5,212.0,4750.0
305,305,49.5,16.1,224.0,5650.0
306,306,44.5,14.7,214.0,4850.0
307,307,50.8,15.7,226.0,5200.0
308,308,49.4,15.8,216.0,4925.0
309,309,46.9,14.6,222.0,4875.0
310,310,48.4,14.4,203.0,4625.0
311,311,51.1,16.5,225.0,5250.0
312,312,48.5,15.0,219.0,4850.0
313,313,55.9,17.0,228.0,5600.0
314,314,47.2,15.5,215.0,4975.0
315,315,49.1,15.0,228.0,5500.0
316,316,46.8,16.1,215.0,5500.0
317,317,41.7,14.7,210.0,4700.0
318,318,53.4,15.8,219.0,5500.0
319,319,43.3,14.0,208.0,4575.0
320,320,48.1,15.1,209.0,5500.0
321,321,50.5,15.2,216.0,5000.0
322,322,49.8,15.9,229.0,5950.0
323,323,43.5,15.2,213.0,4650.0
324,324,51.5,16.3,230.0,5500.0
325,325,46.2,14.1,217.0,4375.0
326,326,55.1,16.0,230.0,5850.0
327,327,48.8,16.2,222.0,6000.0
328,328,47.2,13.7,214.0,4925.0
329,329,46.8,14.3,215.0,4850.0
330,330,50.4,15.7,222.0,5750.0
331,331,45.2,14.8,212.0,5200.0
332,332,49.9,16.1,213.0,5400.0
